index,European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),Euro area - 19 countries  (from 2015),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey
2012,66.9,,67.7,67.2,62.4,71.5,74.3,75.8,73.1,64.5,54.5,59.6,69.7,58.1,60.2,70.2,67.9,68.5,71.4,63.8,63.9,77.5,74.4,62.9,64.0,56.8,67.8,66.9,73.0,78.9,81.8,,79.9,81.0,,52.0,48.2,,51.0,52.8
2013,66.8,,67.4,67.2,62.9,72.5,74.3,76.3,74.1,66.5,52.5,58.6,69.7,57.2,59.1,67.2,69.5,69.9,71.1,65.2,66.2,76.7,74.6,63.2,63.4,56.9,66.7,66.9,72.5,79.2,82.8,,79.6,80.8,,52.7,50.3,,53.4,53.4
2014,67.5,,67.9,67.3,64.4,73.5,74.7,76.7,75.0,68.1,53.1,59.9,70.0,59.2,59.5,67.6,70.6,71.8,72.1,68.7,67.9,76.3,74.2,64.9,66.1,58.0,67.3,67.8,72.2,79.4,84.9,,79.6,81.1,,55.6,51.3,,53.5,53.2
2015,68.5,,68.8,67.2,66.5,74.8,75.4,76.9,76.7,69.8,54.8,62.0,70.3,60.6,60.2,67.9,72.5,73.3,70.9,70.9,69.0,77.2,74.3,66.3,67.9,59.2,68.6,69.6,71.8,79.9,86.5,,79.1,81.7,,56.7,51.9,,54.7,53.9
2016,69.6,,69.8,67.7,67.0,76.7,76.0,77.6,77.0,71.3,55.9,63.9,70.7,61.4,61.4,68.7,73.0,75.2,70.7,73.7,71.1,77.9,74.8,68.2,69.5,60.3,69.5,71.8,72.4,80.6,87.8,,78.6,82.0,,57.1,53.3,,57.6,54.4
2017,70.9,,70.8,68.5,70.6,78.5,76.6,78.2,79.2,72.9,57.4,65.5,71.3,63.6,62.3,70.8,74.6,76.0,71.5,75.4,73.0,78.9,75.4,70.0,72.5,62.7,72.9,73.2,73.2,81.2,87.6,,78.3,82.1,,58.2,54.8,,60.0,55.3
2018,71.9,,71.8,69.7,71.7,79.9,77.5,78.9,79.7,74.0,59.0,67.0,72.0,65.2,63.0,73.9,76.8,77.8,72.1,76.7,75.5,80.0,76.2,71.4,74.7,63.9,74.9,74.5,75.3,81.8,86.5,,79.2,82.5,,59.8,56.1,,61.6,55.6
2019,72.7,,72.5,70.5,74.3,80.3,78.3,79.6,80.5,75.0,60.8,68.0,72.3,66.7,63.5,75.7,77.3,78.2,72.8,77.6,76.8,81.0,76.8,72.3,75.5,65.1,75.9,75.6,76.2,81.5,85.9,,79.5,82.9,,60.8,59.2,,63.6,53.8
2020,71.7,,71.2,69.7,72.7,79.7,77.8,78.1,79.1,72.1,58.3,65.7,72.1,66.9,61.9,74.9,76.9,76.7,72.1,77.5,77.3,80.8,74.8,72.7,74.2,65.2,74.8,74.6,75.5,80.1,82.3,,78.8,82.5,,55.2,59.1,,64.3,51.0
2021,73.1,,72.5,70.6,73.2,80.0,79.0,79.6,79.3,74.9,62.6,67.7,73.2,68.2,62.7,75.9,75.3,77.4,74.1,78.8,78.6,81.7,75.6,75.4,75.9,67.1,76.1,74.6,76.8,80.7,81.4,,80.0,81.8,,,,,66.7,
