index,European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),European Union - 15 countries (1995-2004),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Euro area - 19 countries  (from 2015),Euro area - 12 countries (2001-2006),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,Bosnia and Herzegovina,Kosovo (under United Nations Security Council Resolution 1244/99)
2012,11391843.7,13502872.6,12422761.7,9781453.7,9836961.4,9627117.6,386174.7,42256.8,162587.5,254578.0,2745310.0,17916.7,175512.8,188380.6,1031099.0,2088804.0,44483.6,1624358.7,19440.8,22097.5,33410.2,46526.2,100281.2,7364.5,652966.0,318653.0,387947.0,168295.6,132711.2,36253.3,73360.8,201037.0,430037.1,11479.9,,396523.5,538439.0,2111028.9,3181.5,7584.8,9585.8,33679.3,683587.3,13407.5,4797.3
2013,11520159.1,13616497.1,12519026.2,9877616.6,9935447.4,9722094.9,392880.0,42050.2,159461.5,258742.7,2811350.0,18910.8,179411.2,179884.4,1020348.0,2117189.0,44329.4,1612751.3,17995.0,22791.3,35039.5,49094.5,102276.1,7944.3,660463.0,323910.2,392310.7,170492.3,143690.4,36454.3,74217.3,204321.0,441850.7,12132.9,4812.4,393408.7,536632.9,2096338.0,3362.5,8149.6,9625.4,36426.7,719726.6,13691.8,5071.3
2014,11783874.3,14094954.5,12964050.8,10131962.0,10168543.3,9948379.7,403003.3,43026.0,157821.3,265757.0,2927430.0,20048.2,194933.8,177236.0,1032158.0,2149765.0,43918.6,1627405.6,17430.2,23625.8,36581.3,51791.3,106297.8,8751.1,671560.0,333146.1,408967.8,173053.7,150708.6,37634.3,76092.7,206897.0,438833.9,13472.6,5021.7,375947.3,553942.2,2311080.2,3457.9,8562.0,9968.6,35467.5,707000.8,13988.3,5325.1
2015,12214623.9,14859340.4,13666173.8,10522115.6,10522115.6,10292945.0,416701.4,45812.3,169558.2,273017.6,3026180.0,20631.4,262800.0,176368.9,1077590.0,2198432.0,45186.2,1655355.0,17884.0,24572.1,37345.7,54142.3,112823.6,9996.7,690008.0,344269.2,430465.8,179713.2,160149.8,38852.6,79888.1,211385.0,455494.7,15795.3,5649.1,347632.1,632770.5,2644716.5,3654.5,9072.3,10264.1,35740.2,777042.3,14617.4,5674.4
2016,12552500.0,14986619.2,13762789.6,10816231.2,10816231.2,10579294.2,430085.3,48773.1,177438.5,283109.7,3134740.0,21747.9,270058.1,174494.2,1113840.0,2234129.0,47246.3,1695786.8,18929.3,25371.3,38889.9,56208.1,116279.4,10541.1,708337.0,357608.0,427091.8,186489.8,170063.4,40443.2,81014.3,217518.0,466266.5,18804.2,5637.7,333471.3,628729.6,2434119.2,3954.2,9656.5,10719.9,36779.3,785618.9,15289.9,6037.3
2017,13076045.7,15435835.6,14104288.9,11222413.8,11222413.8,10969665.4,445050.1,52531.3,194132.9,294808.2,3267160.0,23833.6,296925.2,176903.4,1161867.0,2297242.0,49888.8,1736592.8,20245.3,26984.4,42276.3,58168.8,127046.0,11954.7,738146.0,369361.9,467426.6,195947.2,187772.7,43011.3,84442.9,226301.0,480025.5,21917.7,5734.6,353316.4,623994.0,2359789.9,4299.1,10038.3,11559.0,39235.3,760497.1,16042.4,6356.5
2018,13531539.3,15952436.5,14523832.7,11600283.7,11600283.7,11329933.7,460091.7,56224.7,210927.8,302328.7,3367860.0,25817.7,326042.8,179557.7,1203259.0,2363306.0,52688.8,1771391.2,21612.6,29153.6,45514.8,60362.2,136073.4,12957.1,773987.0,385424.0,497842.3,205184.1,204496.9,45864.2,89430.0,233468.0,470673.1,22241.1,5666.3,370294.3,622746.0,2420897.2,4663.1,10744.0,12828.1,42892.2,658544.4,17099.7,6671.5
2019,14017168.8,16543784.0,15011474.0,11984250.0,11984250.0,11697513.7,478238.9,61558.0,225568.7,310475.6,3473350.0,27732.3,356526.3,183250.4,1244375.0,2437635.0,55571.4,1796633.8,23009.9,30647.2,48859.9,62704.2,146113.2,14042.2,813055.0,397518.5,533599.9,214374.6,223162.5,48396.7,94048.0,239852.0,476869.5,22166.8,5742.0,361734.6,653732.6,2526615.2,4950.7,11262.0,13754.2,46005.4,679132.2,18046.4,7056.2
2020,13403149.4,,,11405448.1,11405448.1,11125974.4,456731.5,61331.0,215248.0,312516.6,3367560.0,26834.5,372868.5,165326.4,1121948.0,2302860.0,50188.5,1656960.7,21617.9,29456.8,49507.2,64221.1,137441.6,13059.9,800095.0,379320.6,526445.2,200087.6,218863.3,46918.0,92079.3,237995.0,475666.1,18943.4,5362.9,318051.2,659730.8,,4185.6,10635.3,13283.3,46796.4,626576.2,17514.3,6771.6
2021,14448341.6,,,12253898.4,12253898.4,11947903.4,507194.2,67872.1,238714.2,335705.2,3570620.0,30660.1,421529.2,182830.2,1205063.0,2483616.0,57199.5,1775436.4,23436.7,32866.5,55383.1,73313.5,154124.4,14533.8,860719.0,403370.4,574385.4,211277.5,240154.0,52020.2,97122.5,252934.0,530356.6,21531.8,,407754.8,687110.4,,4911.6,11734.0,15435.9,53317.5,685765.4,19083.7,7816.6
