index;European Union - 27 countries (from 2020);Euro area - 19 countries  (from 2015);Belgium;Bulgaria;Czechia;Denmark;Germany (until 1990 former territory of the FRG);Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden;Iceland;Norway;Switzerland
2012;12,4;12,3;16,3;4,6;7,4;29,2;11,9;6,6;12,7;11,0;10,0;12,4;6,2;14,8;9,9;7,7;4,8;13,5;6,7;12,7;10,0;13,1;7,0;8,9;5,8;7,5;5,7;15,5;17,4;16,5;21,0;13,7
2013;12,7;12,6;16,8;5,0;7,6;30,2;12,1;7,2;12,8;10,5;10,0;12,9;6,6;14,9;10,4;7,7;5,0;13,4;6,5;13,1;9,9;13,4;6,8;11,3;5,9;7,0;6,2;16,1;17,7;17,1;19,1;13,9
2014;12,7;12,5;16,8;5,2;7,7;33,2;12,1;7,4;12,8;9,8;10,1;12,7;6,2;14,6;10,4;7,8;5,0;13,1;6,7;13,2;10,5;13,7;6,8;10,9;6,2;7,2;6,7;16,3;17,8;18,4;17,5;13,8
2015;12,7;12,5;16,4;5,4;7,7;30,6;12,3;7,8;10,6;9,5;9,9;12,7;6,1;14,7;9,9;7,8;5,4;13,8;6,8;12,4;11,3;14,2;6,9;10,7;6,6;7,2;7,1;16,5;18,3;17,1;16,2;14,5
2016;12,7;12,6;16,1;5,6;8,0;29,6;12,7;7,5;10,7;10,2;9,9;12,5;6,4;14,6;9,3;8,3;5,6;14,3;7,2;13,1;11,5;12,8;7,1;10,1;6,4;7,5;7,2;16,4;18,9;17,6;15,8;14,6
2017;12,9;12,8;16,7;5,9;8,1;29,8;12,9;7,2;10,3;10,0;10,1;12,8;6,2;14,4;9,5;8,5;5,4;14,7;7,1;13,1;12,7;13,0;7,3;9,9;6,1;7,5;7,2;16,4;19,0;18,8;16,1;15,2
2018;13,0;12,9;16,9;5,8;8,5;28,4;13,2;7,5;10,5;10,4;10,6;13,2;6,3;14,0;9,5;7,4;5,7;16,8;6,6;12,7;12,5;13,6;7,8;10,1;4,9;7,9;7,3;16,0;18,6;18,5;17,4;15,0
2019;13,0;12,9;15,7;5,8;8,5;31,0;13,2;7,4;10,3;9,7;10,4;13,1;6,5;14,4;9,4;7,0;8,9;16,8;6,6;13,0;13,2;13,7;7,9;9,7;4,9;7,8;7,3;16,0;18,1;17,9;17,4;15,4
2020;13,0;12,9;15,8;5,9;8,5;30,9;12,7;7,8;10,1;9,2;11,2;13,2;6,5;15,2;9,7;7,1;8,8;15,9;6,8;12,9;13,2;12,7;8,0;10,1;4,7;7,9;7,3;16,0;18,4;18,9;15,1;15,1
2021;;;;;;;;8,6;;;;;;;;;;15,6;;;;;;9,7;;;7,4;16,6;18,4;;20,5;
